1
76499073 6164
33641846 10415430 546241495
39172407 66751509 728615820
12404106 11659947 872956301
75513053 26086851 39815085
33107079 25587622 73070811
350037 28695314 899236599
1987814 30021970 276368637
26211644 12099574 809886066
59599130 12922595 142825473
37568182 3870477 378912266
42177850 25946780 686338388
66255993 22017387 134796814
39153546 27804999 948245436
73288977 51458597 300802517
18008591 129212 753457773
22204268 50800205 229910975
29871386 20310677 630616137
30071642 21107889 264480796
18853037 13829245 236115077
64635482 7081813 141090332
3916847 34685335 537259991
4028013 18591157 797750742
19049257 29791579 786459953
64326188 61501048 39375073
60815792 11085756 335627941
62935139 6661655 535916907
51865202 62056793 558312164
72376499 60271187 629122543
16763405 593198 429319025
5869076 8769875 840304580
53258952 53979226 727796919
50573686 57448441 482703160
37515910 41236154 719421244
29054724 46481256 730656552
34052586 51962869 999162785
53126499 10669627 12526860
7523944 65254264 378060926
71701610 21211778 843071774
38086836 19913809 507095207
58807168 56807909 784974434
22325323 71657427 865973503
20196238 38937782 376127941
76116140 15725862 443066242
43483467 9971238 843106033
17310553 14426569 288456246
52169935 9553918 44891793
60778910 27177555 378985986
25245580 42992661 392523235
3839114 73771644 666994279
11416248 42492510 762730661
27805455 24691029 481223303
66851502 21667048 469288473
7296724 48225001 209760843
62669736 26367745 836659509
38934796 41620261 434693143
53513755 30058498 178240374
8723959 39995506 520553264
70778162 44645519 872259500
35503496 72827328 681594294
62684637 33702893 95672449
1897208 11805187 755545492
60346669 31377187 350857475
73666475 16533272 698447497
55068743 27050004 78415827
40028122 71352429 906568638
45717486 30451911 978375213
28898944 66857686 336712990
62571768 6461455 598669610
37625732 27459027 350095492
48547101 57727118 907925209
41002630 73533231 913521963
8752827 67276144 742201115
36720380 21739341 968729136
51865524 15732486 457937762
69058789 60488982 635289328
27068239 17093462 141281101
47503005 70507313 541526859
22258129 52966423 122169641
36615737 29394870 596494718
10654969 30955542 997540443
38656040 5163546 54788754
67218415 1449386 374319079
61715870 59926193 142203166
1948622 20914984 46307268
76259035 74486816 428520158
17081893 58155944 580503113
70562431 45096912 289411144
40707871 31665966 655411994
37300837 38378324 157591699
7061120 39661597 400585867
36595043 62908408 106156454
62667218 36922783 78252957
47701047 32673225 921317310
75178811 29414297 936773722
28980950 45780216 879343217
9863428 949701 709617007
15878165 59949002 901964895
20933438 1883351 817431838
53912065 49481519 850261911
1474305 59271873 204991478
6236302 53536252 25483192
25599663 35595658 436227388
64120355 70920981 756098939
43100229 72315534 146382354
5215190 39571648 996628878
12045076 7671915 551222668
68168997 73148236 228716109
71274229 49802369 651508059
58031201 12372021 234748750
33326660 41559210 14813213
71184666 27162011 921992381
13937308 18316410 654686172
55426576 47361374 300589270
73904784 28875626 412513019
43016632 62104380 707262384
75997722 54525940 373079674
67427601 50338137 804121263
1456895 33583629 849802424
45264784 72992135 658504664
30830341 21860219 906643759
61298347 63642826 535008536
75545423 51832375 596214625
73771144 42643260 14622694
73732428 53969441 604052824
4107865 44361324 840721282
8747812 27749558 720156656
22009644 7504251 783053025
62346224 64548932 500156452
34360991 48441296 228526860
74828405 18822652 966184601
9771580 70606104 967738482
12370138 30828787 909042950
13640797 51746934 12022302
19174614 35291375 739743159
59439307 14790274 627312361
43589864 45057844 12848507
73539743 65988847 288767808
6318527 61106888 237859158
68296339 54385153 725358010
7513911 38193841 716489879
44767174 75525626 636343644
7058605 60231168 562250470
55879868 38118239 905857959
27961147 60168903 862194144
3726552 73677262 461048608
38400948 56878199 723635997
9745281 53640448 552971346
68243473 69213054 460665821
51380549 11616492 998551782
74909697 6924664 383055635
12085395 54587987 421273850
26941458 66423394 490415103
33367780 10740981 94176228
65490169 64872924 200763628
44687461 50914312 681733946
19085125 70137028 750171697
23427933 11691364 62672499
56243900 9100406 813534277
39150112 46843851 151108665
16063679 26975336 263667148
75557529 20000172 997313458
15664049 2144729 439284785
22327914 12340118 524509340
73026562 26482564 693716895
19746311 24995491 722720203
63035682 55112443 398771862
61255002 49747353 753661241
4293988 19185080 568517601
13984070 46366979 628727020
72085112 58321242 307315423
36205572 4485826 745789439
32848915 61813034 969197396
49033969 74877021 504699772
24230833 53439056 350060614
37914059 57917444 526959826
52399750 14427095 595613018
12444340 7016211 641380909
60863317 43396633 553230444
28554813 44327633 183276565
1422823 57726978 362591650
19585734 9471808 438522398
47740882 14760027 435416303
402058 74472061 689503836
26255796 30958918 293497687
60792024 41992544 531270334
28009823 68344794 183412264
50762882 22049510 720855164
66077405 11018849 688569331
73736988 55196564 968445369
71131898 69344155 930277803
23387378 50462656 696824323
36749921 25747662 167604074
75459610 65900064 203574668
36681163 6595682 893513028
75761763 13544844 588595439
38783051 56826502 173941858
25459609 12984318 458679527
17065402 42184632 207063426
44259834 44123756 239887857
24163199 30085946 856599217
54643246 17427739 591016807
59434935 28009097 895660482
25663556 75935612 136723949
58964030 41730816 61315756
14652025 57471399 1139201
9618175 65495193 978079002
72441553 34996019 879455168
32345697 68085154 358333863
65503532 34796867 310448040
23123377 53362906 379854608
64331197 68681534 776973997
37829208 42655736 765788410
11028698 72185546 444445795
37054531 34230432 59341870
16910652 31663603 247757452
23126138 69692942 387398562
19263717 71859321 306122501
33132443 48006160 895510385
74604231 40548395 554963319
2539012 68131810 549712489
30492550 75989775 143901322
59562617 51709461 759870826
61059422 2844143 390105709
19141407 3747757 357047706
10524281 62868538 640227357
50858547 37273891 367777685
9501399 48521231 567867002
23770346 60583058 942364279
25858259 24585919 537749166
55140761 13215073 121161145
68708982 7006183 302572777
21153902 25998816 385233057
4782561 39387121 161057191
6547965 59473250 88274784
22567779 45389068 947714962
20089817 29339646 229085816
75934233 56460390 808508468
69646173 24193005 996256418
55945039 76138466 718098759
15963039 36791694 32609358
59943775 9802211 788355852
18469000 7039865 150826067
49681949 30962808 417666578
75821959 5842087 134616394
24714267 32678135 971623241
55504725 20206078 599105294
15123917 53488632 805302119
51363961 73562873 863350620
48889898 11938600 347739782
71969162 28430511 775925152
75938016 17228348 379083220
29128121 38406783 282612571
75857089 9740102 210986203
23836766 27693126 825042231
7472661 63364570 930162857
71341059 14013047 617148454
68197443 9593919 182572192
49158139 51237318 822249144
4727993 51218641 251316650
60818619 24472246 989805282
9545175 75412 761889812
321396 53192983 199546239
76431444 19282077 543185157
55753475 35246560 266165884
5542045 74007380 50592640
40793849 35584086 197021049
44036949 51412058 370874214
70566076 49820544 823704072
35755719 72161476 634239286
60502523 39541918 347502794
67443460 64665600 501322091
52001451 25161956 182298426
29354418 9264132 411082434
70061315 75391131 673167598
44189121 60857322 412604906
14268300 39554021 946475053
35279458 57176160 135074669
35749650 35291475 881495497
25015708 75318207 403130135
73403834 31196308 616766010
21202517 70615647 734395440
5395230 1122986 584257076
56520257 24042904 901509021
13282174 42994607 538332457
17698097 15623725 394417771
13132704 696132 528677752
33957355 52786576 843652405
48930969 53335919 120090337
49217410 31439950 607368788
48118736 46203112 9814294
68284384 1689430 58729641
61845576 69763889 664057868
23741148 10594923 127522743
24064299 73631424 152965994
55375209 44050815 943039514
45890790 50329644 75641231
65372408 31251808 267884124
51859264 19191772 353050770
6855203 34989278 169358521
61323023 58515938 335388391
67711647 40654425 488911795
6636620 5807167 846528561
41164106 44796582 871388837
68931888 38377370 966184298
47827766 53240316 833283092
15916758 44395604 660247278
67350603 35963227 447963802
13586072 43529784 320469070
54710200 24147083 295260454
3740660 9616673 333939474
25577104 42074142 185640008
20616453 23104390 308884806
25742405 44328703 776155280
64885883 19778941 662154359
58010213 59627500 361438928
46584999 71356012 409950036
